id,title,series,publisher,total_pages,grade_range
book-science-ace,Everything You Need to Ace Science,Big Fat Notebook,Workman Publishing,544,6-8
book-biology-ace,Everything You Need to Ace Biology,Big Fat Notebook,Workman Publishing,529,6-8
book-chemistry-ace,Everything You Need to Ace Chemistry,Big Fat Notebook,Workman Publishing,519,8-10
book-math-ace,Everything You Need to Ace Math,Big Fat Notebook,Workman Publishing,529,6-8
book-algebra-ace,Everything You Need to Ace Pre-Algebra and Algebra 1,Big Fat Notebook,Workman Publishing,641,7-9
